[10-Sep-2020 12:13:41 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 79
[10-Sep-2020 12:13:46 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 79
[10-Sep-2020 12:19:05 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 79
[10-Sep-2020 12:19:09 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 79
[10-Sep-2020 12:20:02 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 79
[10-Sep-2020 12:30:00 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:30:00 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:30:00 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 12:32:33 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:32:33 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:32:33 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 12:32:47 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:32:47 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 12:32:47 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
